product_name,category_large,category_medium,item_type,grocery_item_name,brand_name,processed_grocery_item_name,is_augmented
"국내산 라온 미니 파프리카, 200g, 1개 3,910원 (100g당 1,955원) 내일(일) 새벽 도착 보장 5 (11261) 최대 195원 적립",채소/곡물류,채소,RAW_PRODUCE,파프리카,라온,파프리카,0
[크라운] 콘칲 군옥수수맛 148g,간식류,과자/스낵,SNACK,콘칲,크라운,옥수수칩,0
[파스키에] 살구타르트 720g,간식류,디저트/케이크,BAKERY,타르트,파스키에,타르트,0
[맥시칸] 크리스피 치킨 2종 (소스 포함)(택1),간편식,냉동식품,FROZEN_MEAL,냉동 치킨,맥시칸,냉동 치킨,0
[바샤커피] 파인 플레이버 커피 드립백 12g X 12개입 10종(택1),음료,커피/차,BEVERAGE,커피,바샤커피,커피,0
[김구원선생] 전통 두부 2개입,채소/곡물류,콩/두부,SIMPLE_PROCESSED,두부,김구원선생,두부,0
[켈로그] 콘푸로스트 시리얼바 (35g*4개입),간식류,과자/스낵,SNACK,시리얼바,켈로그,스낵바,0
[하림] 냉장 닭가슴살 4종 (3개입),육류/계란,닭고기,RAW_MEAT,닭가슴살,하림,닭가슴살,0
[위니비니] 새콤 사우어 젤리 5종 골라담기 (택1),간식류,초콜릿/사탕,SNACK,젤리,위니비니,젤리,0
[26년 설] [CU 픽업] 닛카프롬더배럴,술,기타 주류,ALCOHOL,위스키,,위스키,0
[신사동 포노 부오노] 히든 천재의 쉬림프 바질 오일 파스타,간편식,밀키트,RTC_MEAL,밀키트,신사동 포노 부오노,밀키트,0
[26년 설] [CU 픽업] 러셀리저브싱글배럴,술,기타 주류,ALCOHOL,위스키,,위스키,0
"맑은물에 아삭한 콩나물, 3.5kg, 1박스 6,500원 (100g당 186원) 내일(일) 새벽 도착 보장 4.5 (12967) 최대 295원 적립",채소/곡물류,채소,RAW_PRODUCE,콩나물,맑은물에,콩나물,0
"롯데웰푸드 셀렉션 더 싱글 초코 아이스크림 (냉동), 50ml, 10개입, 1박스 11%8,000원 7,060원 (10ml당 141원) 내일(일) 새벽 도착 보장 5 (8559) 최대 353원 적립",간식류,디저트/케이크,BAKERY,아이스크림,롯데,아이스크림,0
까테나 자파타 안젤리카 자파타 까베르네소비뇽,술,와인,ALCOHOL,레드 와인,,레드 와인,0
[26년 설] [CU 픽업] 조니워커블루500세트,술,기타 주류,ALCOHOL,위스키,조니워커,위스키,0
"유기농 오이 2개입, 1팩 4,990원 (1개당 2,495원) 내일(일) 새벽 도착 보장 4.5 (587) 최대 250원 적립",채소/곡물류,채소,RAW_PRODUCE,오이,,오이,0
[올가] 우리밀 통단팥 호빵 (90g X 4개),간식류,빵류,BAKERY,호빵,올가,호빵,0
[고메공방] 우리밀로 만든 흑미호떡 (50g X 10개),간식류,디저트/케이크,BAKERY,호떡,고메공방,기타 디저트/케이크,0
"국내산 취청오이, 3입, 1개 4,290원 (1개당 1,430원) 내일(일) 새벽 도착 보장 4.5 (50371) 최대 215원 적립",채소/곡물류,채소,RAW_PRODUCE,오이,,오이,0
[Kurly's] 동물복지 닭 아랫날개 (윙) 500g,육류/계란,닭고기,RAW_MEAT,닭날개,Kurly's,닭날개,0
"하이트진로 블랙보리 음료, 340ml, 20개 13,990원 (100ml당 206원) 내일(일) 도착 보장 5 (95301) 최대 700원 적립",음료,커피/차,BEVERAGE,보리차,하이트진로,보리차,0
