number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_features,params_min_child_samples,params_min_df,params_n_estimators,params_ngram_range_idx,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sublinear_tf,params_subsample,state
0,0.5568325300937503,0.9024345395124985,0.01629296395174962,-1,10273,62,2,111,1,55,0.009299933954889282,9.129993811728731,False,0.8076010032531146,COMPLETE
1,0.49505968510680753,0.7490542575089836,0.005304983064782426,6,16508,54,3,143,2,237,0.5174242578458219,2.8216164670349944,False,0.933802034099638,COMPLETE
2,0.5691793926060921,0.878185840586551,0.017088026957961674,10,3741,96,2,285,2,124,0.0017633463184243703,3.9970149475927257,False,0.9309152675631343,COMPLETE
3,0.7157492515042284,0.5364434865982937,0.0061985002621221495,-1,3317,18,4,239,1,23,0.003673906413318546,0.04762885356261093,True,0.7077134022950133,COMPLETE
4,0.7759422499867213,0.576855375820221,0.026992551116221026,0,5493,7,4,501,1,22,0.0013301108947636072,0.05336994340705695,True,0.8738592852352549,COMPLETE
5,0.6762610681544559,0.7385211919611442,0.21278865273276276,11,11649,45,4,111,1,28,0.001625189059547642,0.01837103243337903,False,0.6653473540755588,COMPLETE
6,0.7238439438104465,0.556558456914576,0.08418153980203275,0,4661,5,4,126,0,117,0.11308118016479325,0.009224154252976076,True,0.8433105440073368,COMPLETE
7,0.7725207324647358,0.6938063594062371,0.056425901677909576,9,8447,6,3,737,2,77,0.0031923017607549176,0.5388090310955153,True,0.8138668896240228,COMPLETE
8,0.7071270089098863,0.9662199669554159,0.01010751970541154,6,14854,9,5,534,2,70,0.2657772851345174,4.317121714117353,False,0.5330830360325141,COMPLETE
9,0.7459170892611355,0.934329071705249,0.08431338489980085,10,6587,5,4,452,1,247,1.1613725556977381,0.03764809429557252,True,0.8678731087289976,COMPLETE
10,0.703678172160576,0.615491015182566,0.030043568678956616,2,5432,14,1,997,0,15,0.00010009174824472127,0.00013700216301918872,True,0.6222194753236427,COMPLETE
11,0.7748316719749304,0.6704290243865526,0.05278199937973151,3,8817,9,3,760,2,46,0.00016850638214706347,0.25167888009521044,True,0.9964037498578173,COMPLETE
12,0.7545041529150711,0.6400514130359998,0.03200920486393293,3,7326,10,5,477,2,36,0.00014594900620043427,0.26020739604050463,True,0.9958255317332197,COMPLETE
13,0.7109149761014161,0.500470236620828,0.26365066350443345,2,4853,29,2,722,1,16,0.00031795774374398703,0.001710356343960476,True,0.9906970165171342,COMPLETE
14,0.5786957048359155,0.8185741310096317,0.05411196331674831,3,10414,9,3,357,0,42,9.984763450145122,0.2634035381420626,True,0.9232832097215352,PRUNED
15,0.759281055446959,0.6240978547412896,0.10526844898426074,4,6340,13,5,696,1,23,0.012100473332194358,0.003478955742880278,True,0.7600345732376258,COMPLETE
16,0.7274453771173803,0.6778282282142786,0.022455036166511986,1,8531,7,4,982,2,41,0.0006356996530540285,0.7249061225508462,True,0.8814370452624302,COMPLETE
17,0.7190150346289401,0.8044462333802765,0.1407375617941857,5,19981,27,3,197,1,29,0.0006313590684829429,0.11005649567570258,True,0.958505704276595,COMPLETE
18,0.7462630991766206,0.5734571017460307,0.0513334287384531,8,4035,17,1,600,2,54,0.03596772241959438,1.1577429459487443,True,0.7682975708624372,COMPLETE
19,0.5091636261648007,0.6950756559701287,0.010891674473647934,1,5588,7,3,422,0,19,0.0003520802384700647,0.1193698651160223,True,0.8983429678199368,PRUNED
20,0.7651344072234446,0.5984999491010199,0.041211878186427874,4,12389,12,2,359,2,95,0.014529342574819958,0.00065741820591459,True,0.9993073058440507,COMPLETE
21,0.7715822283148811,0.6810928021465577,0.05497290572207981,8,8624,7,3,775,2,73,0.0023754067372996164,0.5787481322941557,True,0.8403321319737425,COMPLETE
22,0.7760813430905305,0.6568988486726328,0.023827947349960917,8,8325,5,3,792,2,158,0.0046811473904347254,0.10894130245452022,True,0.8053257156592817,COMPLETE
23,0.7735732095934024,0.6526776264089323,0.02075251271718129,7,7183,5,4,598,2,163,0.0008529183050051634,0.07431230446320648,True,0.7058530135674166,COMPLETE
24,0.7679080186584257,0.7839752755131348,0.027664465626461434,0,9737,9,3,784,2,196,0.006228891970006803,0.012285080515357791,True,0.7876949501596531,COMPLETE
25,0.7544519738112523,0.7262744710920547,0.011615420820238904,12,6124,7,2,895,1,136,0.052814635097593446,0.2258405467100611,True,0.8482658866764212,COMPLETE
26,0.7600511633627909,0.5879584985398277,0.03897069316692294,4,13171,11,4,561,2,48,0.00031069426892583736,0.021872029928340756,False,0.7324606986481687,COMPLETE
27,0.7645266503094358,0.515118107068881,0.01511281852298578,7,7809,6,5,633,2,91,0.0010619585821369923,0.005711095978475897,True,0.9035265184533601,COMPLETE
28,0.6100156223055223,0.650007354536176,0.007826490131717467,2,4694,15,4,853,0,34,0.0001711824903012953,1.4723529404406055,True,0.9602139252495707,PRUNED
29,0.726555654183958,0.560760535562548,0.023548911742758572,-1,9989,26,3,483,1,51,0.005869550262951577,0.12817362889615952,False,0.806861438377256,PRUNED
30,0.7197881449805753,0.7062308700051793,0.01654210506644831,0,3012,22,2,327,1,66,0.017294486613561918,0.3313628381024517,True,0.6078648577023511,PRUNED
31,0.7738809098391705,0.6600110226986499,0.02400083860302498,8,7184,5,4,586,2,175,0.0007064822866038638,0.08145997455320353,True,0.6881517942854488,COMPLETE
32,,0.6603068529700672,0.038169880052758405,8,5514,5,3,664,2,196,0.00033592302468847735,0.05032338187160649,True,0.6447413112849314,RUNNING
33,0.7742304972068499,0.7621245107531023,0.039868706820861216,8,6806,5,3,524,2,189,0.0003880934949664457,0.049759875888288826,True,0.664882928162745,COMPLETE
34,0.7731626335241022,0.8856496102243838,0.07078345716108833,5,5445,6,3,378,2,145,0.00027126032178137173,0.02595219524973398,True,0.5767169460552752,COMPLETE
35,0.7623761742409776,0.766361357984923,0.03753036902490055,7,9733,8,3,254,2,206,0.001531866960098228,0.045614527687300954,False,0.7422639743118462,COMPLETE
36,0.7521445629885475,0.8203611799084026,0.04362604583493255,9,5999,6,3,667,2,107,0.0043760732537605,7.35012751635433,True,0.7875406992329418,PRUNED
