number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_features,params_min_child_samples,params_min_df,params_n_estimators,params_ngram_range_idx,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sublinear_tf,params_subsample,state
0,0.7062958787207838,0.6460959688098559,0.022784078938719695,6,4788,18,4,239,2,42,0.04391744579538125,7.777963358301418,True,0.9907427216566931,COMPLETE
1,0.7590554219417023,0.6951510282063151,0.012179704072983015,4,5453,16,5,733,2,32,0.760440802387873,0.0016082663477361653,True,0.8517321725874418,COMPLETE
2,0.6904035493858586,0.6404011319019205,0.12451122071830219,3,7447,54,3,389,1,34,0.001549160876272185,1.0279430966873424,True,0.5866173296501306,COMPLETE
3,0.7846913287360537,0.9182942482111751,0.06563186351644926,-1,6394,8,2,100,1,15,0.08201257040905001,0.2362852512961583,False,0.5175106194410687,COMPLETE
4,0.7117724694336066,0.8055168753155296,0.009672373669265653,6,7359,41,3,959,2,17,0.1424096802583904,0.14480592569694767,True,0.5101391772610175,COMPLETE
5,0.7502011385313617,0.5208496210323503,0.04818462304143802,5,16602,24,1,774,2,129,0.01873559336139302,0.006078553688625521,False,0.8167004915756642,COMPLETE
6,0.6169139613356173,0.5432310523752145,0.04957007126518747,5,3718,50,4,106,0,121,0.014329476493972359,2.9629646704201007,True,0.7546567502306507,PRUNED
7,0.7432514180204712,0.7401675610770597,0.047336651067195645,3,4210,10,1,766,0,20,0.002958967735396468,0.00029885352513898614,False,0.9534218486565249,COMPLETE
8,0.674143963603535,0.6520964797836943,0.005929676628161701,6,6134,7,3,330,0,23,0.002868976760529186,0.0033176863234629515,True,0.7277096577237415,PRUNED
9,0.7157126698386005,0.7186607449680029,0.02259194666614774,-1,4915,13,4,112,0,229,0.0001490025890468676,0.055435477860313026,True,0.9563373525948125,PRUNED
10,0.6817042065448442,0.975521741399914,0.2785169894772885,11,12101,6,2,164,1,65,5.81339670664511,0.34463761601557413,False,0.6311979096664938,PRUNED
11,0.7872520840129758,0.883682744883519,0.014231853336560083,-1,9980,5,5,439,1,30,1.0519420542200788,0.00013209493382221918,False,0.8664536045901655,COMPLETE
12,0.775741801637079,0.9125275665641656,0.10952020734696077,-1,11305,5,2,531,1,17,1.0954691626608977,0.00010967335149479046,False,0.8681532657624551,COMPLETE
13,0.6313682445181183,0.8473472528114606,0.022003637970176432,1,10210,9,5,233,1,52,0.4404526925346948,0.014425281002648971,False,0.6962112915907703,PRUNED
14,0.5138370162385967,0.9939574164127186,0.09912758356431878,1,9435,91,2,455,1,24,4.427756954182698,0.06196234547444975,False,0.5033968009622555,PRUNED
15,0.7728783058284834,0.8797295353444745,0.01300580666983124,9,15140,5,5,234,1,15,0.1653743234412428,0.0005148065211679851,False,0.7988989979716792,COMPLETE
16,0.43973565935879555,0.9240208063770177,0.0060339404444906455,1,19987,8,2,179,1,71,1.5295113496848431,0.5102793718633595,False,0.65028433883497,PRUNED
17,0.7439411066417692,0.8037713002271445,0.07631454717434094,-1,8402,26,4,545,1,32,0.09853854373950756,0.011969104282446128,False,0.9083121212592647,PRUNED
18,0.6024124551327151,0.8148344104679229,0.02882997313232996,8,3005,12,1,156,1,27,9.446480936784223,0.0008177638481540689,False,0.5812794359091693,PRUNED
19,0.7907068354532987,0.9557286965785414,0.21431003732100834,2,6653,5,2,316,1,45,0.4489632017440272,0.13717570010329377,False,0.780092222613257,COMPLETE
20,0.7911249357440235,0.9549016617771701,0.1500671270271786,2,13148,5,3,316,1,103,0.369777527437296,0.00011667378180005006,False,0.7625891173900664,COMPLETE
21,0.7854508151199712,0.9402032219424779,0.29117193282364456,2,13208,5,3,286,1,94,0.39811985625353385,0.000113147782063038,False,0.7769543824778062,COMPLETE
22,0.7332414332762731,0.969849958095334,0.15655651983629584,1,8762,6,3,355,1,50,2.3155676246618078,0.00029484480545425597,False,0.8391750132247499,PRUNED
23,0.7923078960939998,0.8738946372530046,0.20176413449441818,3,13946,5,3,430,1,90,0.29966183179657857,0.0014285123914981833,False,0.889833729098195,COMPLETE
24,0.7801027242558358,0.8560543880467888,0.20477271445554532,3,13166,7,3,552,1,92,0.3573870795012843,0.001582089771425104,False,0.7143809666919305,COMPLETE
25,0.7659443470686044,0.953941461528269,0.18571147648123898,2,18895,11,2,290,1,190,0.03811949613127644,0.019229510444257136,False,0.9122892501859826,PRUNED
26,0.7945804371111382,0.995935951411985,0.2112818660945939,4,14628,7,4,416,1,86,0.2927103609200631,0.002976476259832491,False,0.6718838301426565,COMPLETE
27,0.7969901450238244,0.8969827348972148,0.14154827219246185,4,15364,7,4,422,1,150,0.009087214441749496,0.0030304475554025177,False,0.6835072964618915,COMPLETE
28,0.7742474715176556,0.7828880722776101,0.08007883108844573,8,16104,15,4,655,2,159,0.012828450265970237,0.003947403861019016,False,0.6564801491580907,PRUNED
29,0.6979245954269913,0.8806329701365232,0.23868001945820586,4,14955,20,4,431,0,77,0.00572816474751531,0.0016632954596401326,False,0.6779134620065707,PRUNED
30,0.7935709361651059,0.998061343484174,0.13951066516484223,7,18033,7,4,495,2,160,0.00041150992674205593,0.006452006846581506,False,0.604257046273933,COMPLETE
31,0.7981186746443336,0.9938244373557671,0.14415343625806318,7,17744,7,4,492,2,153,0.00046711342162537547,0.007079063060798722,False,0.6068021409846008,COMPLETE
32,0.7724371529036113,0.9990342365190913,0.14215572683304667,7,17709,9,4,621,2,157,0.00018293661073093924,0.007450672151330653,False,0.59764868594229,PRUNED
33,0.78898320652728,0.9999550367998156,0.09454833672145244,10,17856,7,5,382,2,237,0.00044435999796457086,0.030530438819014495,False,0.5581648317821601,COMPLETE
34,0.7697751541149888,0.9093585170997811,0.11277956577042164,7,11726,16,4,530,2,149,0.00040179687113282674,0.0031402076349524677,True,0.6195000106462936,PRUNED
35,0.7268035017004718,0.9296987492155089,0.16015508241452525,7,16381,31,4,480,2,190,0.0008816692244884006,0.007233280927213159,False,0.5438829420506586,PRUNED
36,0.7873084475579792,0.9735896414072128,0.07091856552649145,5,19962,13,5,877,2,118,0.0010061277467149708,0.028701891323545788,True,0.677282880731042,COMPLETE
37,0.7972591808735384,0.8424540874573958,0.13050476152276916,4,14276,9,4,664,2,197,0.00031228730816985906,0.0008583045344154375,False,0.6070181130938225,COMPLETE
38,0.7975391098925162,0.7712458094632182,0.05616049352856861,4,14565,10,4,638,2,205,0.00011098564626309925,0.0007754658336997058,False,0.558254732260611,COMPLETE
39,0.7887904251343661,0.7634510740382958,0.058087475400902304,5,10919,9,5,658,2,204,0.00021536387471993854,0.0007400289043277791,True,0.5599208180240698,COMPLETE
