number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_features,params_min_child_samples,params_min_df,params_n_estimators,params_ngram_range_idx,params_num_leaves,params_reg_alpha,params_reg_lambda,params_sublinear_tf,params_subsample,state
0,0.8098726149698716,0.5605451650783757,0.03599551401494311,0,13674,32,5,801,2,171,0.5002355174874074,0.6056378779013772,True,0.8029966861102307,COMPLETE
1,0.8262911697785637,0.9385267526166569,0.07555152621968074,1,7336,5,2,601,1,42,0.7694848970066962,0.0005032042970068508,False,0.7196813520945282,COMPLETE
2,0.7297926488240917,0.5173788086847144,0.03485333594453143,3,15302,24,5,108,2,31,0.028236431365434064,0.8515477021590214,False,0.9872335770855416,COMPLETE
3,0.7892729359438104,0.9376679869489719,0.008722610061301704,7,17158,7,1,493,1,84,2.297073925502214,0.0005027648075345414,False,0.9702933760339857,COMPLETE
4,0.7474724146425269,0.719095128507043,0.08209063033328011,4,3700,36,5,524,0,20,1.6015769180912915,0.0017608093644273014,True,0.5053365776473884,COMPLETE
5,0.7865673395230159,0.9606602893561036,0.009169329285668501,9,15249,5,4,416,0,57,0.006640656348833635,0.009726921005272792,True,0.9626049144525648,COMPLETE
6,0.8395149041456283,0.8259469287384555,0.09128983365584481,0,8381,13,5,154,2,32,0.00017929620867505056,0.0015152656563584641,True,0.5354321624443332,COMPLETE
7,0.7705178831887869,0.5042387985949969,0.007823637855854484,6,13539,12,2,223,1,83,0.009832742768391,0.0012211783862432213,True,0.814918261857758,PRUNED
8,0.7810052902463057,0.5594234616823994,0.019180222822117288,9,12870,42,3,770,1,154,0.6359030491076137,0.47145070737752665,False,0.6158497311320379,PRUNED
9,0.8496045526212394,0.8094605209276154,0.27346634188306257,4,3658,5,3,259,1,65,0.002073763624876385,0.2226291662951929,False,0.5349020863271802,COMPLETE
10,0.7369207678898472,0.7291190401591342,0.1773202375711121,12,3486,67,3,259,1,17,0.00046297195443749796,5.372948272653583,False,0.6385644633616638,PRUNED
11,0.8303924062517118,0.8310603155749203,0.2770972882512939,2,6132,12,4,143,2,34,0.00014288084184711037,0.046695398655558225,True,0.502188214765583,COMPLETE
12,0.8392296714653643,0.8057674726302806,0.12341001564051064,-1,5391,11,4,176,2,91,0.00087074657476037,0.028651635382487137,True,0.595360941583123,COMPLETE
13,0.831533555301687,0.8484949589802189,0.2796435239847236,4,9877,17,2,326,2,54,0.0013382776215665913,0.007581978434126666,False,0.5618137015948945,COMPLETE
14,0.809551994187988,0.6589773860294692,0.07580788464204737,-1,4585,8,3,163,0,25,0.0001610594519832859,0.0001003412179490097,True,0.7000345002606431,PRUNED
15,0.6153128127531492,0.8864701641294812,0.1456610262653793,2,8922,98,4,103,1,116,0.0032355684700844764,0.08917160547410495,False,0.678494920739344,PRUNED
16,0.8245337564498951,0.7851479935572622,0.058280477988267715,4,3028,18,2,223,2,43,0.0976738702348879,0.16964532027144275,False,0.5621353368920426,COMPLETE
17,0.8331521362932752,0.6723155889426102,0.17623533113593884,7,7143,8,1,346,2,15,0.0001102886247297178,3.2119164582721975,True,0.7723473904758338,COMPLETE
18,0.5656983779615463,0.8830290905919467,0.021979566118805673,1,10051,6,3,130,1,25,7.541145547565551,0.007985891026311037,True,0.5500527009730202,PRUNED
19,0.7970608771149704,0.7605586134424936,0.11321663260849031,5,4736,10,4,198,0,217,0.0003886791444730803,0.018088882856694195,False,0.9090774078976283,PRUNED
